,world,bridge,bush,reward,pRot,max_pbait,min_pbait,pDecay,pStep,trialNum,trialStartTimeAbs,trialStart,clientTrialStart,trialEnd,goCueTime,choice,choiceTime,side,actBait_1,actBait_2,actRot_1,actRot_2,baited_1,baited_2,pBait_1,pBait_2,trialStart_C,clientTrialStart_C,postITI,postITI_C,goCueTime_C,choiceTime_2,postChoiceTimeMin,postChoiceTimeMin_C,trialEnd_C,trialStart_s,goCueTime_s,choiceTime_s,postChoiceTimeMin_s,trialEnd_s,rewardCue_s,len_begin_choice_s,len_choice_reward_s,len_reward_end_s,stay_hit,stay_miss,switch,stay_hit_prior,stay_miss_prior,switch_prior
26,2,0,2,2,0.1,0.32,0,0.97,0.02,27,1555984265330,130632,130696,134964,130726,choseTrap,131114,right,1,1,0,0,1,1,0.06878292715803605,0.25121707284196393,0,59,87,130721,84,477,134818,4182,4328,130.632,130.726,131.114,134.818,134.964,133.814,0.4819999999999993,2.6999999999999886,1.1500000000000057,1,0,0,0,1,0
27,2,0,2,0,0.1,0.32,0,0.97,0.02,28,1555984269669,134972,135036,139528,135063,choseTrap,135457,right,0,0,0,0,1,0,0.009789618153256352,0.31021038184674365,0,59,135061,85,87,480,139159,4183,4552,134.972,135.063,135.457,139.159,139.528,138.15699999999998,0.4849999999999852,2.6999999999999886,1.3710000000000093,0,1,0,1,0,0
28,2,0,2,0,0.1,0.32,0,0.97,0.02,29,1555984274234,139537,139605,144145,139640,choseTrap,139765,right,0,0,0,0,1,0,0.03253509315875777,0.28746490684124226,0,64,139636,95,97,223,143467,3927,4605,139.537,139.64,139.765,143.467,144.145,142.46499999999997,0.22799999999998022,2.6999999999999886,1.6800000000000352,0,1,0,0,1,0
29,2,1,0,0,0.1,0.32,0,0.97,0.02,30,1555984278850,144152,144213,149451,144245,choseSwitch,144611,left,0,0,0,0,1,0,0.04551516340867978,0.2744848365913202,0,57,144240,84,87,456,148317,4160,5295,144.152,144.245,144.611,148.317,149.451,147.31099999999998,0.4590000000000032,2.6999999999999886,2.140000000000015,0,0,1,0,1,0
30,1,0,1,1,0.1,0.32,0,0.97,0.02,31,1555984284154,149457,149524,154747,149554,choseTrap,150064,left,0,1,0,0,1,1,0.05112834079457042,0.2688716592054296,0,61,92,149550,89,602,153766,4305,5286,149.457,149.554,150.064,153.766,154.747,152.76399999999998,0.6069999999999993,2.6999999999999886,1.9830000000000325,1,0,0,0,0,1
31,1,0,1,0,0.1,0.32,0,0.97,0.02,32,1555984289453,154756,154820,159058,154849,choseTrap,155254,left,0,0,0,0,0,1,0.009240920286084364,0.31075907971391564,0,60,154845,84,87,493,158958,4198,4297,154.756,154.849,155.254,158.958,159.058,157.95399999999998,0.49799999999999045,2.6999999999999886,1.1040000000000134,0,1,0,1,0,0
32,1,0,1,0,0.1,0.32,0,0.97,0.02,33,1555984293762,159065,159131,163303,159162,choseTrap,159207,left,0,0,0,0,0,1,0.02889583139320745,0.29110416860679256,0,61,91,159158,89,138,162911,3841,4235,159.065,159.162,159.207,162.911,163.303,161.90699999999998,0.1419999999999959,2.6999999999999886,1.396000000000015,0,1,0,0,1,0
33,1,1,0,0,0.1,0.32,0,0.97,0.02,34,1555984298006,163309,163370,168296,163400,choseSwitch,163834,right,0,0,0,0,0,1,0.02268544477977369,0.2973145552202263,0,57,163397,83,85,521,167538,4225,4983,163.309,163.4,163.834,167.538,168.296,166.534,0.5250000000000057,2.6999999999999886,1.7620000000000005,0,0,1,0,1,0
34,2,0,2,2,0.1,0.32,0,0.97,0.02,35,1555984303000,168303,168367,173149,168399,choseTrap,168972,right,0,0,0,0,0,1,0.04079968991393214,0.2792003100860679,0,59,168394,87,89,664,172681,4374,4842,168.303,168.399,168.972,172.681,173.149,171.672,0.6690000000000111,2.6999999999999886,1.4770000000000039,1,0,0,0,0,1
35,2,0,2,0,0.1,0.32,0,0.97,0.02,36,1555984307854,173156,173217,178046,173244,choseTrap,173733,right,0,0,0,0,0,0,0.046691949004233804,0.2733080509957662,0,58,83,173242,81,573,177435,4275,4887,173.156,173.244,173.733,177.435,178.046,176.433,0.5769999999999982,2.6999999999999886,1.6129999999999995,0,1,0,1,0,0
36,2,0,2,2,0.1,0.32,0,0.97,0.02,37,1555984312750,178052,178121,182996,178154,choseTrap,178589,right,0,1,0,0,0,1,0.09090077768505707,0.2290992223149429,0,64,178149,93,95,534,182292,4236,4941,178.052,178.154,178.589,182.292,182.996,181.289,0.5370000000000061,2.6999999999999886,1.707000000000022,1,0,0,0,1,0
37,2,0,2,0,0.1,0.32,0,0.97,0.02,38,1555984317700,183002,183064,187455,183093,choseTrap,183213,right,0,0,0,0,0,0,0.08441878398575169,0.2355812160142483,0,57,183090,84,86,207,186917,3911,4449,183.002,183.093,183.213,186.917,187.455,185.91299999999998,0.2109999999999843,2.6999999999999886,1.54200000000003,0,1,0,1,0,0
38,2,1,0,0,0.1,0.32,0,0.97,0.02,39,1555984322160,187462,187525,192365,187551,choseSwitch,188308,left,0,0,0,0,0,0,0.11346354448543275,0.20653645551456729,0,58,187548,82,84,842,192011,4545,4899,187.462,187.551,188.308,192.011,192.365,191.00799999999998,0.8460000000000036,2.6999999999999886,1.3570000000000277,0,0,1,0,1,0
39,1,0,1,0,0.1,0.32,0,0.97,0.02,40,1555984327068,192371,192435,197503,192464,choseTrap,192773,left,0,0,0,0,0,0,0.109700005188334,0.210299994811666,0,60,86,192459,84,397,196476,4100,5128,192.371,192.464,192.773,196.476,197.503,195.47299999999998,0.4019999999999868,2.6999999999999886,2.030000000000001,0,1,0,0,0,1
40,1,0,1,1,0.1,0.32,0,0.97,0.02,41,1555984332206,197509,197573,201911,197612,choseTrap,198151,left,1,0,0,0,1,0,0.1103981188034444,0.2096018811965556,0,58,197605,92,95,637,201852,4340,4399,197.509,197.612,198.151,201.852,201.911,200.851,0.6420000000000243,2.6999999999999886,1.0600000000000023,1,0,0,0,1,0
41,1,0,1,0,0.1,0.32,0,0.97,0.02,42,1555984336616,201919,201982,207332,202007,choseTrap,202576,left,0,0,0,0,0,0,0.1509526202627585,0.16904737973724152,0,57,202005,81,83,652,206279,4356,5409,201.919,202.007,202.576,206.279,207.332,205.27599999999998,0.6569999999999823,2.6999999999999886,2.0560000000000116,0,1,0,1,0,0
42,1,0,1,0,0.1,0.32,0,0.97,0.02,43,1555984342038,207341,207410,212209,207443,choseTrap,208315,left,0,0,0,0,0,0,0.15520272132733232,0.1647972786726677,0,63,207440,95,97,970,212017,4673,4865,207.341,207.443,208.315,212.017,212.209,211.015,0.9739999999999895,2.6999999999999886,1.1940000000000168,0,1,0,0,1,0
43,1,1,0,0,0.1,0.32,0,0.97,0.02,44,1555984346912,212215,212279,217009,212308,choseSwitch,212656,right,0,0,0,0,0,0,0.1862177369896678,0.13378226301033222,0,60,212305,85,87,438,216360,4141,4790,212.215,212.308,212.656,216.36,217.009,215.356,0.4410000000000025,2.6999999999999886,1.6529999999999916,0,0,1,0,1,0
44,2,0,2,0,0.1,0.32,0,0.97,0.02,45,1555984351712,217015,217081,221438,217115,choseTrap,217671,right,0,0,0,0,0,0,0.18764331444988716,0.13235668555011287,0,61,217110,91,95,652,221374,4355,4419,217.015,217.115,217.671,221.374,221.438,220.37099999999998,0.6560000000000059,2.6999999999999886,1.0670000000000073,0,1,0,0,0,1
45,2,0,2,0,0.1,0.32,0,0.97,0.02,46,1555984356142,221444,221508,226183,221536,choseTrap,221990,right,0,0,0,0,0,0,0.2067694785955832,0.11323052140441685,0,60,221533,85,87,542,225697,4247,4735,221.444,221.536,221.99,225.697,226.183,224.69,0.5460000000000207,2.6999999999999886,1.492999999999995,0,1,0,0,1,0
46,2,0,2,0,0.1,0.32,0,0.97,0.02,47,1555984360887,226190,226252,231343,226280,choseTrap,226723,right,1,0,0,0,1,0,0.2226774626114765,0.0973225373885235,0,58,226278,82,84,528,230425,4231,5149,226.19,226.28,226.723,230.425,231.343,229.423,0.5330000000000155,2.6999999999999886,1.9199999999999875,0,1,0,0,1,0
47,2,0,2,0,0.1,0.32,0,0.97,0.02,48,1555984366048,231350,231422,237077,231452,choseTrap,232229,right,0,0,0,0,1,0,0.18962567143574627,0.13037432856425374,0,67,231450,95,98,875,235932,4578,5723,231.35,231.452,232.229,235.932,237.077,234.929,0.8790000000000191,2.6999999999999886,2.147999999999996,0,1,0,0,1,0
48,2,1,0,0,0.1,0.32,0,0.97,0.02,49,1555984371779,237082,237149,242598,237179,choseSwitch,237600,left,0,0,0,0,1,0,0.18007668048225456,0.13992331951774545,0,63,237176,89,91,514,241304,4217,5511,237.082,237.179,237.6,241.304,242.598,240.29999999999998,0.5180000000000007,2.6999999999999886,2.2980000000000302,0,0,1,0,1,0
49,1,0,1,1,0.1,0.32,0,0.97,0.02,50,1555984377301,242604,242676,247449,242711,choseTrap,242820,left,0,1,0,0,1,1,0.19416225948528495,0.12583774051471502,0,66,242707,98,102,212,246521,3914,4840,242.604,242.711,242.82,246.521,247.449,245.51999999999998,0.21599999999997976,2.6999999999999886,1.9290000000000305,1,0,0,0,0,1
50,1,0,1,0,0.1,0.32,0,0.97,0.02,51,1555984382154,247457,247520,252095,247548,choseTrap,247917,left,0,0,0,0,0,1,0.20085219315351024,0.1191478068464898,0,58,247546,84,86,456,251622,4159,4634,247.457,247.548,247.917,251.622,252.095,250.617,0.46000000000000796,2.6999999999999886,1.4780000000000086,0,1,0,1,0,0
51,1,0,1,0,0.1,0.32,0,0.97,0.02,52,1555984386800,252102,252169,256567,252209,choseTrap,252586,left,0,0,0,0,0,1,0.2194896783990652,0.10051032160093484,0,60,252198,93,98,480,256288,4183,4460,252.102,252.209,252.586,256.288,256.567,255.286,0.48400000000000887,2.6999999999999886,1.281000000000006,0,1,0,0,1,0
52,1,1,0,0,0.1,0.32,0,0.97,0.02,53,1555984391270,256572,256636,261071,256664,choseSwitch,256951,right,0,0,0,0,0,1,0.219396670804786,0.10060332919521403,0,59,87,256662,85,376,260655,4079,4495,256.572,256.664,256.951,260.655,261.071,259.651,0.3790000000000191,2.6999999999999886,1.420000000000016,0,0,1,0,1,0
